date,open,high,low,close,volume,ROC,SMA,RSI,Real Middle Band,Real Lower Band,Real Upper Band
2021-06-11 10:15:00,257.68,258.39,257.67,258.36,951825.0,0.2989,257.857,59.6491,257.857,257.1683,258.5457
2021-06-11 10:30:00,258.37,258.4868,257.79,258.14,816131.0,0.2408,257.888,56.377,257.888,257.207,258.569
2021-06-11 10:45:00,258.14,258.27,257.68,257.85,522336.0,0.1359,257.9055,52.3893,257.9055,257.2477,258.5633
2021-06-11 11:00:00,257.86,258.2449,257.68,257.97,652345.0,0.2409,257.9365,53.8123,257.9365,257.3299,258.5431
2021-06-11 11:15:00,257.97,258.0,257.505,257.88,565612.0,0.1826,257.96,52.5719,257.96,257.4024,258.5176
2021-06-11 11:30:00,257.88,258.18,257.74,258.08,504729.0,0.3421,258.004,54.9985,258.004,257.5675,258.4405
2021-06-11 11:45:00,258.0786,258.16,257.69,257.79,399688.0,-0.0814,257.9935,51.0146,257.9935,257.5471,258.4399
2021-06-11 12:00:00,257.8,257.93,257.34,257.43,408712.0,-0.1939,257.9685,46.6035,257.9685,257.4591,258.4779
2021-06-11 12:15:00,257.43,257.57,257.17,257.1884,535548.0,-0.4226,257.9139,43.9206,257.9139,257.3224,258.5054
2021-06-11 12:30:00,257.19,257.3,256.68,256.8,672952.0,-0.5653,257.8409,40.0218,257.8409,257.0975,258.5844
2021-06-11 12:45:00,256.79,257.01,256.61,256.79,615418.0,-0.5653,257.7679,39.9258,257.7679,256.9201,258.6158
2021-06-11 13:00:00,256.81,257.01,256.74,256.925,388096.0,-0.4707,257.7072,41.9071,257.7072,256.8025,258.6119
2021-06-11 13:15:00,256.92,256.96,256.67,256.682,442905.0,-0.5648,257.6343,39.4423,257.6343,256.6494,258.6191
2021-06-11 13:30:00,256.67,256.835,256.6199,256.78,356422.0,-0.5114,257.5683,40.9175,257.5683,256.5411,258.5955
2021-06-11 13:45:00,256.775,257.0882,256.765,256.99,331376.0,-0.4069,257.5158,43.9948,257.5158,256.4831,258.5485
2021-06-11 14:00:00,256.99,257.16,256.95,257.14,298518.0,-0.2173,257.4878,46.1054,257.4878,256.4462,258.5293
